,text,sentiment
0," i`d have responded, if i were going",neutral
1, sooo sad i will miss you here in san diego!!!,negative
2,my boss is bullying me...,negative
3, what interview! leave me alone,negative
4," sons of ****, why couldn`t they put them on the releases we already bought",negative
5,://www.dothebouncy.com/smf - some shameless plugging for the best rangers forum on earth,neutral
6,2am feedings for the baby are fun when he is all smiles and coos,positive
7,soooo high,neutral
8, both of you,neutral
9, journey!? wow... u just became cooler.  hehe... (is that possible!?),positive
10," as much as i love to be hopeful, i reckon the chances are minimal =p i`m never gonna get my cake and stuff",neutral
11,i really really like the song love story by taylor swift,positive
12,my sharpie is running dangerously low on ink,negative
13,i want to go to music tonight but i lost my voice.,negative
14,test test from the lg env2,neutral
15,"uh oh, i am sunburned",negative
16," s`ok, trying to plot alternatives as we speak *sigh*",negative
17,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... ://tinyurl.com/mnf4kw",negative
18,is back home now      gonna miss every one,negative
19,hes just not that into you,neutral
20," oh marly, i`m so sorry!!  i hope you find her soon!! <3 <3",neutral
21,playing ghost online is really interesting. the new updates are kirin pet and metamorph for third job.  can`t wait to have a dragon pet,positive
22,is cleaning the house for her family who is comming later today..,neutral
23,gotta restart my computer .. i thought win7 was supposed to put an end to the constant rebootiness,neutral
24,see wat i mean bout foll0w friidays... it`s called lose f0llowers friday... smh,neutral
25,"the free fillin` app on my ipod is fun, im addicted",positive
26,  i`m sorry.,negative
27,on the way to malaysia...no internet access to twit,negative
28,juss came backk from berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive
29,went to sleep and there is a power cut in noida  power back up not working too,negative
30,i`m going home now. have you seen my new twitter design? quite....heavenly isn`****?,positive
31,i hope unni will make the audition . fighting dahye unni !,positive
32, if it is any consolation i got my bmi tested hahaha it says i am obesed  well so much for being unhappy for about 10 minutes.,negative
33, that`s very funny.  cute kids.,positive
34," ahhh, i slept through the game.  i`m gonna try my best to watch tomorrow though. i hope we play army.",neutral
35,"thats it, its the end. tears for fears vs eric prydz, dj hero   ://bit.ly/2hpbg4",neutral
36,born and raised in nyc and living in texas for the past 10 years!  i still miss ny,negative
37,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
38,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
39,"a little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive
40," car not happy, big big dent in boot! hoping theyre not going to write it off, crossing fingers and waiting",neutral
41,im an avid fan of **** magazine and i love your magazines,positive
42,mayday?!,neutral
43,"ratt rocked nashville tonite..one thing sucked, no encore!  like in the 80`s they still have a fun show. pearcy has that hott bad boy look",neutral
44, i love to! but i`m only available from 5pm.  and where dear? would love to help  convert her vids.ï¿½,positive
45,the girl in the hair salon asked me 'shall i trim your eyebrows!' how old do i feel?,neutral
46,egh blah and boooooooooooo i dunno wanna go to work  hangovers suckkkkkk im a drunk mess!,negative
47,:visiting my friendster and facebook,neutral
48,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative
49, which case? i got a new one last week and i`m not thrilled at all with mine.,negative
50, then you should check out ://twittersucks.com and connect with other tweeple who hate twitter,neutral
51," also bored at school, its my third freelesson( freistunde )",neutral
52, hm... both of us i guess...,neutral
53, it is ****...u have dissappointed me that past few days,negative
54, romance zero is funny,positive
55, i`d rather do the early run..but i am a morning runner,neutral
56,bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative
57,will be back later.  ://plurk.com/p/rp3k7,neutral
58,aw. torn ace of hearts  #hunchback,negative
59, what fun are you speaking of?,neutral
60,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative
61, haha yes,neutral
62,i give in to easily,negative
63,what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? our wine was a red,positive
64,mannnn..... _ got an iphone!!! im jealous....  ://bit.ly/ngnar,negative
65,is at a photoshoot.,neutral
66,  he`s awesome... have you worked with him before? he`s a good friend.,positive
67,yay playing a show tonight! boo it`s gonna soggy and i`m at work right before playing,neutral
68,chilliin,positive
69," if you know such agent, do let me know",neutral
70,i still smell of smoke  #kitchenfire,neutral
71, a celtics-lakers rematch sounds better don`t you think? lol,positive
72,"anyone have an extra keane ticket? i promise to buy you a drink and take rad pics for your fb / blog / flickr., etc",neutral
73,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral
74, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
75,ok - i`m out of here for now. just popped in to say hi and check on things. i`ll probably head to the guttah later on tonight,neutral
76,"wow, i am really missin the fam(ily) today. baddd.",negative
77, my sources say no,neutral
78,i am sooo tired,negative
79," hey, you change your twitter account, and you didn`t even tell me...",neutral
80, thank yyyyyyyyyoooooooooouuuuu!,positive
81, lucky kid...i so wanna see loserville  pity im in oz....,positive
82,fell asleep waiting for my ride!,neutral
83,sick. with a flu like thing.,negative
84,"still no reply from  about my simfinger problem  so no irape parody video until i get a response, sorry guys",negative
85,happy star wars day everyone! and enjoy the holiday (uk),positive
86, miles from you   i`m in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers.,neutral
87,"his snoring is so annoying n it keeps me from sleeping (like right now, lol) but i honestly wud miss it if it eva left  i love him.",neutral
88,i miss you bby      wish you were going tomorrow to make me do good.,negative
89, well what im working on isn`t quite ready to post about publicly (still beta testing) but its a cool new script i coded,positive
90, sweeeeet - san fran is awesome!!!!  love it there,positive
91,_mounce yes and it lasts way past my bedtime!,neutral
92, hi  how are you doing ???  *just joined twitter...*,neutral
93,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative
94,eating ice cream and then getting ready for graduation.,neutral
95,happy mothers day to all you mums out there,positive
96," casey`s gone?!?! but why?! so, she piddled a little on the carpet. she`s prolly freaked cause it`s new. can we get her back?",negative
97, hemp cloth is marvelous but unfortunately no,negative
98,gonna read a story bout adam lambert online then bed. nighty night,neutral
99, we saw that in none 3d - the baddie`s the best,positive
100,4am. and im on the beach. pretty,positive
101," certainly not cheers than, huh?",neutral
102,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! ouch!",negative
103,i realy wanted to go out cause its so nice but everybodys busy,negative
104, awesome.  i`m down in ocean beach (if you know where that is.) by the way. 'yourbiggestfan' i`m a re-al big fan of you-rs.,positive
105,at least i get to watch over time  let`s go pens!!,neutral
106, cool i wear black most of the time when i go out,neutral
107, haha i do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive
108, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive
109," woof, i wish i was allowed to go",positive
110,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral
111,  has tickets.......?,neutral
112,"thank you, afrin nasal spray! also, i got a giant teacup tonight!",positive
113, acsm. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral
114,"aww, i love my daddy! he works 7 days a week almost all day and still tries to go to sf with all of us",positive
115,so many tests todayyy  i don`t feel confident about anyy.,negative
116,graduation is done  im a little sad.. anyone want to hang out???,negative
117, hahaa your awesomee !,positive
118,holy smokes! star trek was freaking awesomeeeee,positive
119,"i hate fallout 3 it keeps making me jump, i`m also low on health, money, ammo and food  don`t worry i`ll get through it.",neutral
120," i had it! on my itunes, but then i lost all my songs.",neutral
121,what`s with the gloomy weather? the sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral
122,"not looking forward to next week: maths, geography, english and french exams, totalling 7 hours",negative
123," poor you  get outside and sleep in the garden, the sun will do you good. but don`t forget suncream!!!",negative
124,not well,negative
125, not a prob hun,positive
126,"at dads, watching some mtv and am going on sims2 in a minutee",neutral
127, absolutely,neutral
128, what`s the matter chickadee?,neutral
129, hey mia!  totally adore your music.  when will your cd be out?,positive
130,"shopping. cleaning. bmfing. webcam chatting with nephews. nothing spesh, but a good bank holiday monday nonetheless",positive
131, =o you need to ask him something? lmao i love him too,positive
132, those splinters look very painful...but you were being very heroic saving mr. pickle,negative
133, why are you sad?,negative
134, nice to see you tweeting!  it`s sunday 10th may and we`re celebrating mother`s day here today. so be nice to yer mom,positive
135,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  age of the instant gratification....,positive
136, namaskar & namaste r both the same. marathi people say namaskar! its a marathi word.... should i ? ...naaaah !,neutral
137," congrats!  i cuss like that in a matter of minutes, but didn`t know until now there is a reward for it.",neutral
138,humous and dorito`s.... oh yes,neutral
139,"missed all the awesome weather, because she was in a movie!",negative
140,today is going to be a normal day for i hope. we had a group of pilots from a large airline come in last night so it was too much drink,neutral
141,"these kids are terrible! if i was in good evans, i`d call childline",negative
142,"unfortunatley, aerlingus no longer fly to copenhagen so we`re have to fly ryanair to billund and drive up to copenhagen one of the days!",negative
143," what`s sad is that i actually had to google that term. that sucks, tho.",negative
144,hate fighting,negative
145," i watched that too!!! i didnt want her to win, but she put up a good fight..lol",neutral
146,car-warmed sprite tastes like sore throat,negative
147,just came 11th in cross country and beat dumbo,neutral
148,candle wax is very enjoyable.,positive
149," she`s unassuming and unpretentious. she`s just, as. i suppose that`s why she`s so endearing--because we can relate to her",positive
150,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral
151,goooooddd morning tweets!!  week three of my workout. did i mention i got my new glasses yesterday?!?,positive
152, me too. i hate my computer so much..,negative
153, fine! going to do my big walk today 20 or so miles,positive
154,i want red cruisers!!  i don`t like the other ones. lmfao!,negative
155,mmmmmmmm... ? it in the morning,neutral
156, me neither,neutral
157,"has about 10 hours work to do, on a sunday. boo. i will find time for a two hour lunchbreak though. yeah",neutral
158,bugger. forgot i still have washing in my machine,negative
159,"_laurie sending love, blessings & healing thoughts to you & family  peace",positive
160,my back hurts...really bad,negative
161," ah yes, i know that feeling",neutral
162,night of the cookers with my dad,neutral
163,my modem has been offline for a week now... god bless the 3g network. tim just left... again!! may schedule has been brutal,negative
164, nope i am in coquitlam,neutral
165, had parent teacher thing yesterday!! so boring going to skl on saturday!!  lol,negative
166,  #lichfield #tweetup sounds like fun  hope to see you and everyone else there!,positive
167,big booming thunder storm almost here.  maybe we can all go home early???  ah... probably not.,neutral
168,few bevvies 2day in twn..great on a day off!!,positive
169,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive
170, good morning,positive
171, its the best show ever!,positive
172,url in previous post (to timer job) should be ://bit.ly/a4fdb. i`d removed space which messed up url.  ^es,negative
173,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :l .,neutral
174, i want to know when the auditions are mander! text or...reply please!,neutral
175,or even nooooo not the secret namerebecca please,negative
176, i miss my neice  can`t wait to see her bad n grown ****! lol,negative
177,i need to get my computer fixed,neutral
178,really hopes her car`s illness is not terminal...,negative
179,"all the cool people i want to find for following today are #english, and i guess the english don`t tweet.",neutral
180, no sir...i woulda put honey...but i don`t have any,neutral
181,who watched x-men origins: wolverine? i totally loved it! haha,positive
182, i voted!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive
183, i`m sad that i missed you guys last night!,negative
184,finally got a call for marriage counseling 3 days late....,neutral
185, ok then,neutral
186,_420 why baby?,neutral
187,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative
188,we`re having an impromptu pool party... except i don`t know how to swim so i can`t get in,neutral
189,lost my tooth 2day whilst i was eating gum...oww,negative
190,happy 1 year! <3,positive
191,"oh, i hella forgot to say my official good morning  like to hear it? here it go! goooooooooooood morrrrrrrrning twitterville! lol",positive
192, *phew*  will make a note in case anyone else runs into the same issueï¿½,neutral
193,  what about me ??  i vote every day for you !!!!!,negative
194,i`m starving!! this diet is killing me but i can`t eat after 8pm,negative
195, i talk to you,neutral
196,im soo bored...im deffo missing my music channels,negative
197, nite nite bday girl  have fun at concert,positive
198,"had nicotine replacement patch on for 4 hours. so far, so good, but i did sleep for most of those 4 hours. getting a bit twitchy now",neutral
199,_sanderson what`s with twatter lately?  either i can`t get on or the replies don`t turn up!,neutral
200,should be sleeping.  lost my voice a couple day ago.,negative
201,://twitpic.com/66xlm -  hate when my parked car gets hit,negative
202, i`ve heard this fall. i`m waiting too!,neutral
203, more nightmares?  *huggles*,neutral
204,i am such a creeper  i feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative
205,going to bed its late and i have headache,negative
206,happy mother`s day to all moms out there...,positive
207,grabbing coffee from  then making mom breakfast,neutral
208,im thinking that im going to have fun tonight....and maybe some changes are coming,positive
209, thanks. before the major chop.,neutral
210," haha i know, i cant handle the fame!  and thank you!",positive
211,just got up and updated my ipod,neutral
212, yes! sober hahaha tanghaling tapat dude! haha wild. i don`t knowwww  plan plan  before you go to us!,positive
213, we never miss icarly - my son has a huge crush on miranda,positive
214,saw james carville in the store today. his head is really that bald,neutral
215,yellow for   ? ://blip.fm/~5z05g,neutral
216, which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral
